Letter,code
1,Fv0%
2,BrC>
3,G0ui
4,8Atg
5,d0SC
6,Vw`x
7,+Md9
8,AziY
9,*BuO
0,Sq&C
!,fS0<
@,J38~
#,9pd!
$,rSDP
%,PzAu
^,q4)u
&,^g:O
*,6-so
(,OHPL
),^X4k
_,M0ja
-,KorP
+,df+A
=,gFzS
~,",na~"
`,y#e1
	,Z)l3
 ,Q*-t
,:):(
q,DNJb
w,3v`!
e,%w!E
r,s6C5
t,jaDl
y,LYhb
u,)vUr
i,EZp*
o,S.+7
p,!CV)
a,5/<K
s,POIU
d,?)(k
f,tiYP
g,adj!
h,Xb)C
j,N.%W
k,V2W1
l,Ar9V
;,NO5d
:,`jj4
"""",w~Xl
',#AgV
z,<93K
x,CHwN
c,gwl:
v,:6C+
b,W^of
n,*v:#
m,pSW5
",",l(%`
.,>q*#
/,fw-.
?,>qn;
>,</:F
<,QlYi
{,z:YI
},c6<!
[,X;C?
],.OrM
|,zyT`
\,#*4v
Q,<Xcz
W,*@2n
E,C~wK
R,Q*Hr
T,Mx.9
Y,Fqay
U,3N&*
I,a@v8
O,5@n@
P,#Nzv
A,eHfE
S,HVAk
D,:3of
F,.yU+
G,Db5r
H,hAxV
J,);b$
K,lNS.
L,yud4
Z,wjtw
X,J*D9
C,HFP>
V,y`@n
B,/gM^
N,B41w
M,YVTh
